domain,problem,name,exit_code,total_time,search_time,solution_time,plan_length
grid,p19,L_TIME,20,,,,
grid,p19,S_TIME,0,702.891,636.97,702.891,2232
grid,p20,L_TIME,20,,,,
grid,p20,S_TIME,124,,,,
grid,p21,L_TIME,20,,,,
grid,p21,S_TIME,0,1636.26,1368.15,1636.26,4051
grid,p22,L_TIME,20,,,,
grid,p22,S_TIME,0,182.389,41.0873,182.389,871
grid,p23,L_TIME,20,,,,
grid,p23,S_TIME,124,,,,
grid,p24,L_TIME,20,,,,
grid,p24,S_TIME,124,,,,
grid,p25,L_TIME,20,,,,
grid,p25,S_TIME,124,,,,
grid,p26,L_TIME,20,,,,
grid,p26,S_TIME,20,,,,
grid,p27,L_TIME,20,,,,
grid,p27,S_TIME,20,,,,
grid,p28,L_TIME,20,,,,
grid,p28,S_TIME,20,,,,
grid,p29,L_TIME,20,,,,
grid,p29,S_TIME,20,,,,
grid,p30,L_TIME,20,,,,
grid,p30,S_TIME,20,,,,
gripper,p01,L_TIME,0,,,,
gripper,p01,S_TIME,0,0.0140692,0.00419227,0.0140692,59
gripper,p02,L_TIME,0,,,,
gripper,p02,S_TIME,0,0.016834,0.0056913,0.016834,75
gripper,p03,L_TIME,0,,,,
gripper,p03,S_TIME,0,0.0194596,0.00721119,0.0194596,89
gripper,p04,L_TIME,0,,,,
gripper,p04,S_TIME,0,0.0230267,0.00894388,0.0230267,105
gripper,p05,L_TIME,0,,,,
gripper,p05,S_TIME,0,0.0284958,0.0111509,0.0284958,119
gripper,p06,L_TIME,0,,,,
gripper,p06,S_TIME,0,0.0309239,0.0127773,0.0309239,135
gripper,p07,L_TIME,0,,,,
gripper,p07,S_TIME,0,0.0365243,0.015133,0.0365243,149
gripper,p08,L_TIME,0,,,,
gripper,p08,S_TIME,0,0.0422194,0.0174928,0.0422194,165
gripper,p09,L_TIME,0,,,,
gripper,p09,S_TIME,0,0.0465181,0.0201365,0.0465181,179
gripper,p10,L_TIME,0,,,,
gripper,p10,S_TIME,0,0.053768,0.0239125,0.053768,195
gripper,p11,L_TIME,0,,,,
gripper,p11,S_TIME,0,0.0577688,0.0253647,0.0577688,209
gripper,p12,L_TIME,0,,,,
gripper,p12,S_TIME,0,0.0635027,0.0282658,0.0635027,225
gripper,p13,L_TIME,0,,,,
gripper,p13,S_TIME,0,0.0691837,0.0307702,0.0691837,239
gripper,p14,L_TIME,0,,,,
gripper,p14,S_TIME,0,0.0788882,0.0350307,0.0788882,255
gripper,p15,L_TIME,0,,,,
gripper,p15,S_TIME,0,0.0835072,0.0376557,0.0835072,269
gripper,p16,L_TIME,0,,,,
gripper,p16,S_TIME,0,0.0931942,0.0415969,0.0931942,285
gripper,p17,L_TIME,0,,,,
gripper,p17,S_TIME,0,0.100472,0.0455732,0.100472,299
gripper,p18,L_TIME,0,,,,
gripper,p18,S_TIME,0,0.107623,0.0496127,0.107623,315
gripper,p19,L_TIME,0,,,,
gripper,p19,S_TIME,0,0.120044,0.0543095,0.120044,329
gripper,p20,L_TIME,0,,,,
gripper,p20,S_TIME,0,0.12611,0.0575333,0.12611,345
gripper,p21,L_TIME,0,,,,
gripper,p21,S_TIME,0,0.140402,0.0619976,0.140402,359
gripper,p22,L_TIME,0,,,,
gripper,p22,S_TIME,0,0.142099,0.0654636,0.142099,375
gripper,p23,L_TIME,0,,,,
gripper,p23,S_TIME,0,0.157992,0.0728844,0.157992,389
gripper,p24,L_TIME,0,,,,
gripper,p24,S_TIME,0,0.161388,0.0745937,0.161388,405
gripper,p25,L_TIME,0,,,,
gripper,p25,S_TIME,0,0.177224,0.0815639,0.177224,419
gripper,p26,L_TIME,0,,,,
gripper,p26,S_TIME,0,0.192314,0.0894892,0.192314,435
gripper,p27,L_TIME,0,,,,
