id,domain,meta-action,total-refinement-time,valid-refinements,already-valid,succeded,state-space-search-time,stackelberg-output-parsing,initial-refinement-possibilities,final-refinement-possibilities
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,hiking,$meta_down,59157,1,False,True,5970,2,1,1
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,hiking,$meta_walked,887716,0,False,False,881863,8,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,hiking,$meta_at_tent,613003,0,False,False,607543,5,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,hiking,$meta_at_person_0,55314,0,False,False,49498,5,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,hiking,$meta_at_car_0,59257,0,False,False,53274,6,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,hiking,$meta_up,59750,1,False,True,5220,9,1,1
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,hiking,$meta_down,58620,1,False,True,5323,1,1,1
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,logistics-strips,$meta_at_0,478049,1,False,True,3181,32,143,18
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,logistics-strips,$meta_in_0,982175,1,False,True,331694,131,189,33
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,logistics-strips,$meta_at_0,468246,1,False,True,6700,765,143,18
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,miconic,$meta_served,312212,1,True,True,0,0,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,miconic,$meta_boarded,305643,1,True,True,0,0,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,miconic,$meta_served,316722,1,True,True,0,0,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,miconic,$meta_boarded,304683,1,True,True,0,0,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,parking,$meta_curb-clear_0,840677,0,False,False,838348,9,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,parking,$meta_behind-car_0,816117,0,False,False,813959,18,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,parking,$meta_at-curb,445250,1,False,True,2326,8,1,1
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,parking,$meta_curb-clear_0,822630,0,False,False,819592,8,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,parking,$meta_behind-car_0,817907,0,False,False,811321,14,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,rover,$meta_communicated_image_data,1111767,0,False,False,1109270,19,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,rover,$meta_communicated_soil_data,333281,0,False,True,315425,8,1,1
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,rover,$meta_communicated_rock_data,323118,1,False,True,305224,1,1,1
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,rover,$meta_have_image,22853,1,True,True,0,0,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,rover,$meta_have_soil_analysis_0,718090,0,False,True,622096,6,64,16
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,rover,$meta_have_rock_analysis_0,12455,1,True,True,0,0,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,rover,$meta_at_0,361148,2,False,True,305965,104,957,15
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,rover,$meta_communicated_soil_data,340336,0,False,True,317625,12,1,1
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,satellite,$meta_have_image,302832,0,False,False,0,0,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,satellite,$meta_power_avail_false,2181530,0,False,False,2175404,9,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,satellite,$meta_calibrated,316427,1,True,True,0,0,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,satellite,$meta_have_image,302946,0,False,False,0,0,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,satellite,$meta_power_avail_false,2190557,0,False,False,2182466,9,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,satellite,$meta_power_on,2703375,0,False,False,2696274,1,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,satellite,$meta_calibrated,316418,1,True,True,0,0,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,scanalyzer3d,$meta_analyzed,72616,1,True,True,0,0,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,scanalyzer3d,$meta_analyzed,58837,1,True,True,0,0,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,woodworking,$meta_colour,792489,0,False,False,775561,15,0,0
